District,Spending,GradRate
WYLIE ISD,6848.402447,98
WICHITA FALLS ISD,9101.872872,98
FERRIS ISD,9788.404727,95
HARPER ISD,10589.52703,90
CHANNING ISD,12060.77348,50
GUTHRIE ISD,28769.23077,50
