District,Spending,GradRate
ACADIA PARISH,9277.303234,93
LAFAYETTE PARISH,10189.6321,78
CLAIBORNE PARISH,10990.65421,95
ASCENSION PARISH,11895.73865,89
WEST FELICIANA PARISH,14193.91462,95
ORLEANS PARISH,20646.60743,81
