District,Spending,GradRate
GENERAL BROWN CENTRAL SCHOOL DISTRICT,13740.64171,92
CANASTOTA CENTRAL SCHOOL DISTRICT,18950.48041,82
DUNDEE CENTRAL SCHOOL DISTRICT,20835.00717,74.5
NAPLES CENTRAL SCHOOL DISTRICT,22978.93258,84.5
JOHNSBURG CENTRAL SCHOOL DISTRICT,26386.90476,80
MOUNT PLEASANT-COTTAGE UNION FREE SCHOOL DISTRICT,27446.57676,95
