District,Spending,GradRate
Naylor R-II,7617.22488,90
CAMERON R-I,9099.438202,92
MID-BUCHANAN CO. R-V,9759.459459,92
PATTONSBURG R-II,10589.62264,50
LESTERVILLE R-IV,19601.53257,80
LIBERTY 53,10269.13012,95
