District,Spending,GradRate
GLADBROOK-REINBECK COMM SCHOOL DISTRICT,8794.871795,90
MONTEZUMA COMM SCHOOL DISTRICT,10173.33333,90
NORTH UNION COMM SCHOOL DISTRICT,10712.96296,90
VINTON-SHELLSBURG COMM SCHOOL DISTRICT,11303.4134,95
COUNCIL BLUFFS COMM SCHOOL DISTRICT,12048.30968,87
GMG COMM SCHOOL DISTRICT,17905.92334,90
